,Rat.Sex,Group
90245,1,0
90248,1,0
90252,1,0
90265,1,0
90266,1,0
90217,2,0
90229,2,0
90232,2,0
90237,2,0
90239,2,0
90559,1,1
90560,1,1
90564,1,1
90567,1,1
90571,1,1
90421,2,1
90422,2,1
90423,2,1
90426,2,1
90430,2,1
90576,1,2
90578,1,2
90581,1,2
90585,1,2
90587,1,2
90439,2,2
90441,2,2
90444,2,2
90449,2,2
90450,2,2
90406,1,4
90410,1,4
90412,1,4
90416,1,4
90420,1,4
90280,2,4
90281,2,4
90283,2,4
90289,2,4
90292,2,4
90251,1,8
90254,1,8
90258,1,8
90259,1,8
90267,1,8
90218,2,8
90222,2,8
90223,2,8
90225,2,8
90227,2,8
